# cpu=11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
# kernel=Linux 6.6.87.2-microsoft-standard-WSL2
# compiler=gcc 11.4.0
# date=2026-08-25T08:34:25Z
# git_sha=8a43db6
# tsc_usable=1 tsc_flags_known=1 ns_per_tick=0.355454
# timer_overhead_ns=7.46
# profile=hardened metadata_bytes=24
# counters=on
# lock=arena
# ops_per_thread=200000 arena=growable
workload,allocator,lock,threads,rep,ops,ns_total,ops_per_sec,ops_per_sec_per_thread,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,timer_overhead_ns,alloc_failures,peak_payload_bytes,peak_block_bytes,peak_blocks,seed
mt_churn,system,arena,4,4,800000,13669262,58525471.2,14631367.8,22.7,11.0,161.7,450.4,134735.2,7.46,0,0,0,0,20264809
mt_churn,system,arena,4,5,800000,14820500,53979285.4,13494821.4,25.2,12.8,167.4,521.5,207038.9,7.46,0,0,0,0,20265809
mt_churn,system,arena,4,6,800000,14651637,54601407.3,13650351.8,23.8,12.1,162.4,404.9,45552.5,7.46,0,0,0,0,20266809
mt_churn,system,arena,4,7,800000,14705657,54400833.6,13600208.4,30.2,23.1,184.5,467.4,201653.0,7.46,0,0,0,0,20267809
mt_churn,system,arena,4,8,800000,14556931,54956638.9,13739159.7,22.4,11.4,168.8,495.9,25118.2,7.46,0,0,0,0,20268809
mt_churn,system,arena,4,9,800000,15739554,50827361.4,12706840.4,24.9,12.8,169.6,512.9,44457.0,7.46,0,0,0,0,20269809
mt_churn,system,arena,4,10,800000,15643205,51140415.3,12785103.8,31.6,22.0,198.7,521.5,326544.7,7.46,0,0,0,0,20270809
mt_churn,system,arena,4,11,800000,13762347,58129619.9,14532405.0,23.1,11.7,166.0,441.8,32048.1,7.46,0,0,0,0,20271809
mt_churn,system,arena,8,1,1600000,20400884,78427974.0,9803496.8,32.0,19.9,203.0,532.8,2301105.3,7.46,0,0,0,0,20261809
mt_churn,system,arena,8,2,1600000,16390030,97620321.6,12202540.2,31.3,21.3,203.0,493.0,683058.4,7.46,0,0,0,0,20262809
mt_churn,system,arena,8,3,1600000,16715894,95717285.6,11964660.7,32.7,22.7,200.1,521.5,550593.1,7.46,0,0,0,0,20263809
mt_churn,system,arena,8,4,1600000,16621663,96259923.0,12032490.4,33.8,23.5,205.8,544.2,393977.1,7.46,0,0,0,0,20264809
mt_churn,system,arena,8,5,1600000,17462007,91627497.3,11453437.2,33.4,19.9,194.4,510.1,4034688.3,7.46,0,0,0,0,20265809
mt_churn,system,arena,8,6,1600000,20011899,79952432.3,9994054.0,31.6,20.6,200.1,493.0,744479.0,7.46,0,0,0,0,20266809
mt_churn,system,arena,8,7,1600000,16475821,97112004.3,12139000.5,32.7,22.7,201.5,478.8,402480.3,7.46,0,0,0,0,20267809
mt_churn,system,arena,8,8,1600000,18025705,88762131.6,11095266.5,32.7,20.6,194.4,515.8,4029678.5,7.46,0,0,0,0,20268809
mt_churn,system,arena,8,9,1600000,18032689,88727754.4,11090969.3,34.1,22.0,207.2,541.4,1375084.1,7.46,0,0,0,0,20269809
mt_churn,system,arena,8,10,1600000,19349378,82689996.5,10336249.6,34.8,19.9,197.3,510.1,6748408.2,7.46,0,0,0,0,20270809
mt_churn,system,arena,8,11,1600000,16033316,99792207.7,12474026.0,31.3,21.3,200.1,507.2,364488.3,7.46,0,0,0,0,20271809
producer_consumer,mars,arena,1,1,200000,50218092,3982628.4,3982628.4,204.7,168.8,1021.9,2176.4,65657.7,7.46,0,11452250,11718224,8193,20261809
producer_consumer,mars,arena,1,2,200000,47708198,4192151.6,4192151.6,194.1,161.7,657.9,3359.4,45065.2,7.46,0,10723407,10990640,8193,20262809
producer_consumer,mars,arena,1,3,200000,44932020,4451168.7,4451168.7,179.9,157.5,433.3,1983.1,53496.9,7.46,0,7369944,7638416,8193,20263809
producer_consumer,mars,arena,1,4,200000,48861715,4093184.2,4093184.2,199.4,166.0,925.2,2642.8,101469.3,7.46,0,10762838,11030272,8193,20264809
producer_consumer,mars,arena,1,5,200000,47326881,4225928.2,4225928.2,192.7,161.0,919.6,2290.2,249152.0,7.46,0,11692824,11961120,8193,20265809
producer_consumer,mars,arena,1,6,200000,45990721,4348703.3,4348703.3,186.6,156.0,717.7,2085.4,61015.1,7.46,0,12747023,13014320,8193,20266809
producer_consumer,mars,arena,1,7,200000,46758454,4277301.4,4277301.4,188.4,162.4,601.1,2858.9,72756.1,7.46,0,9604540,9871808,8193,20267809
producer_consumer,mars,arena,1,8,200000,50296060,3976454.6,3976454.6,206.5,169.6,930.9,3063.7,121808.4,7.46,0,9704185,9970688,8193,20268809
producer_consumer,mars,arena,1,9,200000,51218930,3904806.3,3904806.3,211.5,174.5,987.8,2529.1,134744.8,7.46,0,11044980,11311408,8193,20269809
producer_consumer,mars,arena,1,10,200000,49698958,4024229.2,4024229.2,202.6,177.4,632.4,2176.4,129240.3,7.46,0,14588604,14859280,8193,20270809
producer_consumer,mars,arena,1,11,200000,49371063,4050955.9,4050955.9,200.1,171.0,510.1,2381.2,170133.5,7.46,0,9584635,9851488,8193,20271809
producer_consumer,mars,arena,2,1,400000,92848563,4308090.4,2154045.2,244.2,149.6,845.6,6271.3,169358.2,7.46,0,1044586,1044656,2,20261809
producer_consumer,mars,arena,2,2,400000,74568429,5364200.4,2682100.2,196.9,134.0,552.7,4496.8,66821.8,7.46,0,1046693,1046752,2,20262809
producer_consumer,mars,arena,2,3,400000,76969976,5196831.6,2598415.8,204.4,138.3,615.3,4678.8,312626.8,7.46,0,1022590,1022656,2,20263809
producer_consumer,mars,arena,2,4,400000,84697089,4722712.5,2361356.2,226.4,138.3,714.8,5065.6,140886.0,7.46,0,1312974,1313040,2,20264809
producer_consumer,mars,arena,2,5,400000,77048440,5191539.2,2595769.6,204.0,134.7,564.1,4724.3,46634.2,7.46,0,1042384,1042448,2,20265809
producer_consumer,mars,arena,2,6,400000,86449842,4626960.5,2313480.2,230.7,149.6,879.7,5816.3,93259.8,7.46,0,1042928,1042992,2,20266809
producer_consumer,mars,arena,2,7,400000,81019349,4937092.2,2468546.1,218.2,142.5,598.2,4929.1,128605.1,7.46,0,1046896,1046960,2,20267809
producer_consumer,mars,arena,2,8,400000,80630006,4960932.3,2480466.1,215.0,144.7,839.9,4838.1,141803.4,7.46,0,1041684,1041760,2,20268809
