# cpu=11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
# kernel=Linux 6.6.87.2-microsoft-standard-WSL2
# compiler=gcc 11.4.0
# date=2026-08-25T07:41:25Z
# git_sha=5ae7712
# tsc_usable=1 tsc_flags_known=1 ns_per_tick=0.356550
# timer_overhead_ns=8.20
# profile=hardened metadata_bytes=24
# counters=on
# ops_per_thread=200000 arena=growable
workload,allocator,lock,threads,rep,ops,ns_total,ops_per_sec,ops_per_sec_per_thread,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,timer_overhead_ns,alloc_failures,peak_payload_bytes,peak_block_bytes,peak_blocks,seed
mt_churn,system,global,8,5,1600000,25362459,63085365.7,7885670.7,48.1,25.3,264.2,750.5,5485941.1,8.20,0,0,0,0,20265809
mt_churn,system,global,8,6,1600000,26874720,59535504.0,7441938.0,48.5,25.0,251.4,696.3,7971285.2,8.20,0,0,0,0,20266809
mt_churn,system,global,8,7,1600000,21166254,75592024.9,9449003.1,42.8,24.2,240.0,602.2,6960405.5,8.20,0,0,0,0,20267809
mt_churn,system,global,8,8,1600000,23576672,67863691.7,8482961.5,47.1,25.7,254.2,696.3,5222890.8,8.20,0,0,0,0,20268809
mt_churn,system,global,8,9,1600000,27352575,58495406.7,7311925.8,47.1,26.0,249.9,676.4,8097751.6,8.20,0,0,0,0,20269809
mt_churn,system,global,8,10,1600000,24866444,64343739.7,8042967.5,44.6,26.0,254.2,662.1,2427461.8,8.20,0,0,0,0,20270809
mt_churn,system,global,8,11,1600000,24596741,65049268.1,8131158.5,44.2,26.4,245.7,656.4,3985721.4,8.20,0,0,0,0,20271809
producer_consumer,mars,global,1,1,200000,49537516,4037344.1,4037344.1,191.5,155.1,1121.3,3528.8,111287.8,8.20,0,11452250,11718448,8193,20261809
producer_consumer,mars,global,1,2,200000,61952536,3228277.9,3228277.9,246.0,210.0,864.6,6472.4,56963.8,8.20,0,10723407,10990768,8193,20262809
producer_consumer,mars,global,1,3,200000,44788535,4465428.5,4465428.5,170.1,143.0,468.1,3163.7,254671.8,8.20,0,7369944,7638368,8193,20263809
producer_consumer,mars,global,1,4,200000,47611879,4200632.4,4200632.4,183.6,140.1,944.5,3483.1,91462.5,8.20,0,10762838,11030832,8193,20264809
producer_consumer,mars,global,1,5,200000,42818978,4670826.1,4670826.1,162.2,135.1,733.4,2524.7,51046.2,8.20,0,11692824,11960944,8193,20265809
producer_consumer,mars,global,1,6,200000,44658911,4478389.5,4478389.5,170.1,138.7,950.2,3232.1,133407.4,8.20,0,12747023,13014336,8193,20266809
producer_consumer,mars,global,1,7,200000,41455167,4824489.1,4824489.1,155.8,139.4,338.4,2114.0,47465.3,8.20,0,9604540,9871376,8193,20267809
producer_consumer,mars,global,1,8,200000,66707405,2998167.9,2998167.9,267.1,269.9,630.7,3506.0,153521.1,8.20,0,9704185,9970720,8193,20268809
producer_consumer,mars,global,1,9,200000,47973692,4168951.6,4168951.6,185.8,143.0,1007.3,2399.2,181396.9,8.20,0,11044980,11311280,8193,20269809
producer_consumer,mars,global,1,10,200000,40703289,4913607.8,4913607.8,152.6,133.0,382.6,1965.7,103322.4,8.20,0,14588604,14859424,8193,20270809
producer_consumer,mars,global,1,11,200000,40329311,4959172.3,4959172.3,151.5,133.7,315.5,2011.3,51151.3,8.20,0,9584635,9851264,8193,20271809
producer_consumer,mars,global,2,1,400000,256002226,1562486.4,781243.2,1102.1,254.2,16056.5,72648.1,2185187.2,8.20,0,10451423,10723904,8194,20261809
